ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
2981,C,Ship,3,3,200,3,low,M,4,3791,1
10503,A,Ship,3,1,248,3,medium,M,7,5588,0
8270,F,Ship,7,4,286,4,low,M,3,1262,1
8704,B,Ship,4,4,149,2,medium,F,2,5881,0
1723,D,Ship,5,3,186,4,medium,F,11,3676,1
7234,B,Ship,4,2,227,3,medium,M,7,4041,0
6748,B,Ship,4,2,266,3,medium,F,2,5252,1
3949,D,Road,4,1,258,3,medium,M,2,4188,0
5493,A,Flight,5,5,132,2,high,M,6,4392,0
10731,A,Ship,4,1,253,5,low,F,1,1235,0
6439,D,Flight,5,3,154,2,low,M,3,5440,1
2821,D,Ship,2,2,188,4,medium,M,39,2424,1
6462,F,Ship,2,1,285,5,low,M,4,5759,0
10007,C,Flight,3,4,216,3,low,F,3,5149,0
4185,A,Ship,4,3,153,2,medium,M,1,4366,1
9403,D,Ship,6,3,257,4,low,F,2,1694,0
9625,D,Ship,6,3,244,5,medium,F,1,1847,1
304,B,Ship,4,3,222,2,medium,M,55,3833,1
34,B,Ship,4,2,234,3,medium,M,4,3261,1
3275,C,Road,3,5,237,3,low,M,4,5561,1
1942,B,Ship,3,2,183,4,low,M,49,2414,1
9116,F,Ship,3,4,247,3,medium,M,9,5383,0
9283,D,Ship,2,3,192,3,low,M,4,5524,0
3523,D,Ship,5,3,181,4,low,F,2,5332,0
8299,D,Ship,3,4,209,2,high,F,5,4363,0
8378,F,Ship,3,3,212,2,low,M,2,5125,0
252,F,Road,2,2,145,3,medium,F,5,6102,1
9071,C,Ship,3,1,173,2,low,F,7,4684,0
9973,D,Ship,3,1,167,2,low,F,8,4171,1
9733,D,Flight,3,5,252,3,medium,F,8,4557,1
9844,B,Road,5,4,260,3,low,M,8,4535,0
458,F,Ship,3,4,145,8,low,F,15,1429,1
2955,A,Ship,5,5,145,2,medium,M,48,1834,1
1840,B,Ship,3,2,188,3,medium,M,3,3837,1
10829,C,Flight,3,3,192,3,high,F,4,4339,1
8500,B,Flight,4,5,234,3,medium,F,10,4204,1
9559,D,Ship,3,5,157,4,medium,F,2,4640,0
1278,F,Ship,3,1,275,2,high,F,1,2597,1
1146,F,Ship,5,1,186,10,low,M,64,2529,1
7506,F,Ship,7,3,305,4,low,F,3,1872,0
9287,C,Ship,3,4,180,3,low,M,2,5659,1
9352,B,Ship,7,1,267,4,medium,M,9,1261,1
9783,A,Ship,3,4,213,3,high,M,7,5516,1
9956,F,Ship,4,3,264,5,low,F,2,1541,0
10090,B,Ship,5,3,137,4,low,F,9,4754,0
3205,D,Ship,3,1,190,3,medium,F,2,4312,0
5813,C,Ship,6,1,141,5,low,F,9,5113,0
5744,F,Road,4,1,242,2,low,F,2,5825,0
8324,F,Ship,5,1,267,5,medium,F,3,1194,1
7808,F,Flight,3,5,175,3,high,F,6,5150,0
1179,A,Ship,4,3,118,5,low,F,15,1601,1
9726,F,Flight,4,1,152,5,medium,M,8,5711,0
1794,F,Flight,3,1,163,3,medium,M,59,1005,1
4454,F,Ship,4,4,106,2,low,F,10,5173,1
4748,F,Ship,5,5,232,7,medium,M,6,5139,0
674,F,Road,3,2,247,2,medium,M,39,3189,1
2725,D,Road,4,1,227,3,low,M,5,3100,1
5422,B,Ship,6,1,147,3,medium,F,5,4012,0
8574,F,Ship,4,3,252,3,medium,F,10,5802,1
6293,C,Road,6,1,246,4,medium,M,4,1504,1
6631,D,Ship,3,3,145,3,medium,F,8,4522,0
7074,F,Ship,4,3,195,4,medium,F,1,5004,0
2222,F,Ship,3,1,164,2,low,M,2,1304,1
5750,F,Flight,4,1,179,3,high,M,5,4129,0
